permalink,year,title,venue,role,themes
/publications/2026-01-09-farley-cider,2026,A Climate Intervention Dynamical Emulator (CIDER) for scenario space exploration,Geoscientific Model Development,lead,"SRM; Modeling & Methods; Climate Policy, Governance & Ethics"
/publications/2026-01-14-wang-air-quality,2026,"Air quality impacts of Stratospheric Aerosol Injections are small and mainly driven by changes in climate, not deposition",Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts
/publicationsothers/2026-08-06-perny-pinatubo-isamip,2026,Assessing the stratospheric temperature response to volcanic sulfate injections by Mt. Pinatubo: insights from the Interactive Stratospheric Aerosol Model Intercomparison Project,Atmospheric Chemistry and Physics,collab,SAI; SRM; Volcanic Aerosols; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts; Modeling & Methods
/publication/2026-07-07-kounta-marine-heatwaves,2026,Climate intervention through stratospheric aerosol injection may partially mitigate marine heatwaves,Environmental Research: Climate,lead,"SAI; SRM; Climate & Ecosystems Impacts; Climate Policy, Governance & Ethics"
/publicationsothers/2026-01-04-redmond-roche-srm-experiments,2026,"Differentiating solar radiation modification field experiments: Scale, technical characteristics, and governance implications",Earth's Future,collab,"SRM; Climate Policy, Governance & Ethics"
/publications/2026-01-03-lee-g6-sai,2026,G6-1.5K-SAI and G6sulfur: changes in impacts and uncertainty depending on stratospheric aerosol injection strategy in the Geoengineering Model Intercomparison Project,Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2026-06-27-rezaei-snow-streamflow,2026,Hydrologic Sensitivity of Snow and Streamflow Dynamics to Climate Forcing With and Without Stratospheric Aerosol Intervention,Water Resources Research,lead,SAI; SRM; Climate & Ecosystems Impacts
/publications/2026-01-01-clark-land-models,2026,Land models likely underestimate the impact of future atmospheric dryness on European tree growth,Geophysical Research Letters,lead,Climate & Ecosystems Impacts
/publicationsothers/2026-07-29-taylor-climate-overshoot,2026,Managing climate overshoot: a risk-based strategy for climate stabilisation,Frontiers in Climate,collab,"Climate Policy, Governance & Ethics"
/publicationsothers/2026-08-11-jorimann-ccmi2022-sai,2026,Middle atmosphere chemical and dynamical effects in the CCMI-2022 stratospheric aerosol injection scenario,Atmospheric Chemistry and Physics,collab,"SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods; Climate Policy, Governance & Ethics"
/publications/2026-01-02-quaglia-water-vapor,2026,Multi-model analysis of the impact of water vapor on the radiative forcing of volcanic aerosols after the 2022 Hunga Eruption,Atmospheric Chemistry and Physics,lead,Volcanic Aerosols; Atmospheric Chemistry & Dynamics
/publication/2026-07-03-smith-detectability,2026,On the detectability by uninvolved parties of covert stratospheric aerosol injection programs producing transboundary impacts,Environmental Research: Climate,lead,"SAI; SRM; Climate Policy, Governance & Ethics"
/publication/2026-08-14-mcfarlane-smith-cirrus-cct,2026,Parallel and diverging responses across four earth system models in response to cirrus cloud thinning climate intervention experiment,Environmental Research: Climate,lead,SRM; Climate & Ecosystems Impacts
/publications/2026-01-13-roberts-marine-ecosystems,2026,Potential impacts of climate interventions on marine ecosystems,Reviews of Geophysics,lead,SRM; Climate & Ecosystems Impacts
/publicationsothers/2026-01-05-awo-african-marine,2026,Projected future of African Marine ecosystems under climate change and stratospheric aerosol injection,Journal of Geophysical Research: Oceans,collab,SAI; SRM; Climate & Ecosystems Impacts
/publicationsothers/2026-01-08-agarwal-rfa,2026,Radiative forcing–based accounting (RFA): a dynamic framework to replace static GWPs in carbon markets,Environmental Research Letters,collab,"Climate Policy, Governance & Ethics"
/publicationsothers/2026-01-12-kim-arctic-sea-ice,2026,Sensitivity of Arctic sea ice recovery to stratospheric aerosol injection latitude,npj Climate and Atmospheric Science,collab,SAI; SRM; Climate & Ecosystems Impacts
/publicationsothers/2026-01-10-ribeiro-south-america,2026,South America Monsoon Lifecycle under SAI and no-SAI scenarios in a warming world,Environmental Research: Climate,collab,"SAI; SRM; Atmospheric Chemistry & Dynamics; Climate Policy, Governance & Ethics"
/publicationsothers/2026-01-06-parry-amazon,2026,Stratospheric aerosol injection geoengineering has the potential to increase land carbon storage and to protect the Amazon rainforest,Earth System Dynamics,collab,SAI; SRM; Climate & Ecosystems Impacts
/publicationsothers/2026-01-07-duffey-hilla-sai,2026,The global climate response to High-Latitude Low-Altitude Stratospheric Aerosol Injection (HiLLA-SAI),Earth System Dynamics,collab,SAI; SRM
/publications/2026-01-11-tilmes-microphysics,2026,Uncertainties of SAI efficiency and impacts depending on the complexity of the aerosol microphysical model,Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts; Modeling & Methods
/publication/2026-07-30-oloughlin-field-experiments,2026,When are small-scale field experiments in solar geoengineering worth pursuing?,European Journal for Philosophy of Science,lead,"SRM; Climate Policy, Governance & Ethics"
/publicationsother/2025-07-02-WA,2025,Assessing Regional Climate Trends in West Africa Under Geoengineering: A Multimodel Comparison of UKESM1 and CESM2,JGR: Atmosphere,collab,SAI; SRM; Modeling & Methods
/publicationsother/2025-05-14-variables,2025,Baseline Climate Variables for Earth System Modelling,Geophysical Model Development,collab,Modeling & Methods
/publicationsother/2025-10-31-SLR,2025,Global and regional thermosteric and dynamic sea level change under stratospheric aerosol injection,Environmental Research: Climate,collab,SAI; SRM; Climate & Ecosystems Impacts
/publication/2025-5-14-ozoneMCB,2025,How marine cloud brightening could also affect stratospheric ozone,Science Advances,lead,SRM; Atmospheric Chemistry & Dynamics
/publicationsothers/2025-05-01-zhu-hthh-moc,2025,Hunga Tonga-Hunga Ha'apai Volcano Impact Model Observation Comparison (HTHH-MOC) project: experiment protocol and model descriptions,Geoscientific Model Development,collab,Volcanic Aerosols; Modeling & Methods
/publicationsother/2025-06-19-gaps,2025,Key Gaps in Models' Physical Representation of Climate Intervention and Its Impacts,Journal of Advances in Modeling the Earth System,collab,SRM
/publication/2025-6-6-risks,2025,Models and scenarios for solar radiation modification need to include human perceptions of risk,Environmental Research: Climate,lead,"SRM; Climate Policy, Governance & Ethics"
/publicationsother/2025-08-31-aridity,2025,Multi-Model Future World Aridity and Groundwater Recharge Changes With and Without Stratospheric Aerosol Intervention Under High Warming Scenario,Geophysical Research Letters,collab,"SAI; SRM; Climate & Ecosystems Impacts; Modeling & Methods; Climate Policy, Governance & Ethics"
/publication/2025-12-1-tipping,2025,Response of Tipping Elements to Different Strategies of Stratospheric Aerosol Injection,Earths Future,lead,SAI; SRM; Climate & Ecosystems Impacts
/publication/2025-8-21-AMOC,2025,"Stratospheric Aerosol Injection Could Prevent Future Atlantic Meridional Overturning Circulation Decline, But Injection Location is Key",Earths Future,lead,SAI; SRM; Climate & Ecosystems Impacts
/publicationsother/2025-06-18-CCMI,2025,Stratospheric Aerosol Intervention experiment for the Chemistry–Climate Model Initiative,Atmospheric Chemistry and Physics,collab,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2025-1-15-Encyclopedia,2025,The Science of Solar Radiation Modification: Stratospheric Aerosol Injections and Marine Cloud Brightening,Encyclopedia of Atmospheric Sciences,lead,SAI; SRM
/publication/2025-8-13-optimization,2025,Using optimization tools to explore stratospheric aerosol injection strategies,Earth System Dynamics,lead,SAI; SRM
/publicationsother/2025-02-6-MJO,2025,Volcanically forced Madden–Julian oscillation triggers the immediate onset of El Nino,Nature Communications,collab,Volcanic Aerosols; Atmospheric Chemistry & Dynamics
/publication/2025-2-4-WCRP,2025,World Climate Research Programme lighthouse activity: an assessment of major research gaps in solar radiation modification research,Frontiers in Climate,lead,SRM
/publication/2024-05-26-SG_commentary,2024,A living assessment of different materials for stratospheric aerosol injection?Building bridges between model world and the messiness of reality,Geophysical Research Letters,lead,SAI; SRM
/publicationsothers/2024-05-14-Baseline_sulfate,2024,Analysis of the global atmospheric background sulfur budget in a multi-model framework,Atmos. Chem. Phys.,collab,"Atmospheric Chemistry & Dynamics; Modeling & Methods; Climate Policy, Governance & Ethics"
/publicationsothers/2024-06-01-SG_carbon,2024,Carbon cycle response to stratospheric aerosol injection with multiple temperature stabilization targets and strategies,Earths Future,collab,SAI; SRM; Climate & Ecosystems Impacts
/publicationsothers/2024-04-24-SG_modsec2,2024,Dependency of the impacts of geoengineering on the stratospheric sulfur injection strategy – Part 2: How changes in the hydrological cycle depend on the injection rate and model used,Earth System Dynamics,collab,SAI; SRM; Climate & Ecosystems Impacts
/publication/2024-07-09-SG_emulator1,2024,Emulating inconsistencies in stratospheric aerosol injection,Environ. Res.: Climate,lead,SAI; SRM; Modeling & Methods
/publication/2024-04-09-SG_GeoMIP,2024,G6-1.5K-SAI: a new Geoengineering Model Intercomparison Project (GeoMIP) experiment integrating recent advances in solar radiation modification studies,Geoscientific Model Development,lead,SAI; SRM; Modeling & Methods
/publication/2024-03-12-SG_Strategies,2024,Hemispherically symmetric strategies for stratospheric aerosol injection,Geophysical Research Letters,lead,SAI; SRM; Modeling & Methods
/publicationsother/2024-11-28-Risk,2024,Informative risk analyses of radiative forcing geoengineering require proper counterfactuals,Commun Earth Environ,collab,"SRM; Climate Policy, Governance & Ethics"
/publication/2024-06-30-SG_delay,2024,Kicking the can down the road: understanding the effects of delaying the deployment of stratospheric aerosol injection,Environ. Res.: Climate,lead,SAI; SRM
/publication/2024-11-16-Methane,2024,Managing the Global Wetland Methane-Climate Feedback: A Review of Potential Options,Global Change Biology,lead,Climate & Ecosystems Impacts
/publication/2024-11-27-Shipping,2024,Modeling 2020 regulatory changes in international shipping emissions helps explain anomalous 2023 warming,Earth System Dynamics,lead,Modeling & Methods
/publicationsothers/2024-06-01-SG_icesheets,2024,Multi-model simulation of solar geoengineering indicates avoidable destabilization of the West Antarctic ice sheet,Earths Future,collab,SAI; SRM; Climate & Ecosystems Impacts
/publication/2024-06-29-tilmes-sai-assessment-criteria,2024,Research criteria towards an interdisciplinary Stratospheric Aerosol Intervention assessment,Oxford Open Climate Change,lead,"SAI; SRM; Climate Policy, Governance & Ethics"
/publicationsothers/2024-02-28-SOCOL,2024,Side Effects of Sulfur-Based Geoengineering Due To Absorptivity of Sulfate Aerosols,Geophysical Research Letters,collab,SAI; SRM; Modeling & Methods
/publication/2024-04-22-SG_Volcanoes,2024,The Potential of Stratospheric Aerosol Injection to Reduce the Climatic Risks of Explosive Volcanic Eruptions,Geophysical Research Letters,lead,"SAI; SRM; Volcanic Aerosols; Climate Policy, Governance & Ethics"
/publication/2023-01-15-SG_multi1,2023,Climate response to off-equatorial stratospheric sulfur injections in three Earth System Models - Part 1: experimental protocols and surface changes,Atmos. Chem. Phys.,lead,SAI; SRM
/publication/2023-01-15-SG_multi2,2023,Climate response to off-equatorial stratospheric sulfur injections in three Earth System Models - Part 2: stratospheric and free-tropospheric response,Atmos. Chem. Phys.,lead,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2023-09-05-Mod_WACCM,2023,"Climate, Variability, and Climate Sensitivity of Middle Atmosphere Chemistry Configurations of the Community Earth System Model Version 2, Whole Atmosphere Community Climate Model Version 6 (CESM2(WACCM6))",Journal of Advances in Modeling Earth Systems,lead,Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2023-10-24-ARISE_UK,2023,Comparison of UKESM1 and CESM2 simulations using the same multi-target stratospheric aerosol injection strategy,Atmospheric Chemistry and Physics,collab,SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
